"","happiness_score","country","density","agricultural_land","land_area","armed_forces","birth_rate","carbon_emissions","cpi","cpi_change","fertility_rate","forested_area","gasoline_price","gdp","primary_edu_enrollment","tertiary_edu_enrollment","infant_mortality","life_expectancy","maternal_mortality","minimum_wage","pocket_health_expenditure","physicians_per_thousand","population","labor_force","tax_revenue","total_tax","unemployment_rate","urban_population","latitude","longitude"
"119",3.694,"Tanzania",67,44.8,947300,28000,36.7,11973,187.43,3.5,4.89,51.6,0.87,63177068175,94.2,4,37.6,65,524,0.09,26.1,0.01,58005463,83.4,11.5,"43.80",1.98,20011885,-6.369028,34.888822
"120",5.843,"Thailand",137,43.3,513120,455000,10.34,283763,113.27,0.7,1.53,32.2,0.71,543649976166,99.8,49.3,7.8,76.9,37,1.06,11.8,0.81,69625582,67.3,14.9,"29.50",0.75,35294600,15.870032,100.992541
"121",4.137,"Togo",152,70.2,56785,10000,33.11,3000,113.3,0.7,4.32,3.1,0.71,5459979417,123.8,14.5,47.4,60.8,396,0.34,51,0.08,8082366,77.6,16.9,"48.20",2.04,3414638,8.619543,0.824782
"122",4.497,"Tunisia",76,64.8,163610,48000,17.56,29937,155.33,6.7,2.2,6.8,0.73,38797709924,115.4,31.7,14.6,76.5,43,0.47,39.8,1.3,11694719,46.1,21.1,"60.70",16.02,8099061,33.886917,9.537499
"123",4.614,"Turkiye",110,49.8,783562,512000,16.03,372725,234.44,15.2,2.07,15.4,1.42,754411708203,93.2,23.9,9.1,77.4,17,3.45,16.9,1.85,83429615,52.8,17.9,"42.30",13.49,63097818,38.963745,35.243322
"124",4.432,"Uganda",229,71.9,241038,46000,38.14,5680,173.87,2.9,4.96,9.7,0.94,34387229486,102.7,4.8,33.8,63,375,0.01,40.5,0.17,44269594,70.3,11.7,"33.70",1.84,10784516,1.373333,32.290275
"125",5.071,"Ukraine",75,71.7,603550,297000,8.7,202250,281.66,7.9,1.3,16.7,0.83,153781069118,99,82.7,7.5,71.6,19,0.84,47.8,2.99,44385155,54.2,20.1,"45.20",8.88,30835699,48.379433,31.16558
"126",6.796,"United Kingdom",281,71.7,243610,148000,11,379025,119.62,1.7,1.68,13.1,1.46,2827113184696,101.2,60,3.6,81.3,7,10.13,14.8,2.81,66834405,62.8,25.5,"30.60",3.85,55908316,55.378051,-3.435973
"127",6.894,"United States",36,44.4,9833517,1359000,11.6,5006302,117.24,7.5,1.73,33.9,0.71,2.14277e+13,101.8,88.2,5.6,78.5,19,7.25,11.1,2.61,328239523,62,9.6,"36.60",14.7,270663028,37.09024,-95.712891
"128",6.494,"Uruguay",20,82.6,176215,22000,13.86,6766,202.92,7.9,1.97,10.7,1.5,56045912952,108.5,63.1,6.4,77.8,17,1.66,16.2,5.05,3461734,64,20.1,"41.80",8.73,3303394,-32.522779,-55.765835
"129",6.014,"Uzbekistan",79,62.9,447400,68000,23.3,91811,NA,NA,2.42,7.5,1.03,57921286440,104.2,10.1,19.1,71.6,29,0.24,42.7,2.37,33580650,65.1,14.8,"31.60",5.92,16935729,41.377491,64.585262
"130",5.211,"Venezuela",32,24.5,912050,343000,17.88,164175,2740.27,254.9,2.27,52.7,0,482359318768,97.2,79.3,21.4,72.1,125,0.01,45.8,1.92,28515829,59.7,NA,"73.30",8.8,25162368,6.42375,-66.58973
"131",5.763,"Vietnam",314,39.3,331210,522000,16.75,192668,163.52,2.8,2.05,48.1,0.8,261921244843,110.6,28.5,16.5,75.3,43,0.73,43.5,0.82,96462106,77.4,19.1,"37.60",2.01,35332140,14.058324,108.277199
"132",3.982,"Zambia",25,32.1,752618,16000,36.19,5141,212.31,9.2,4.63,65.2,1.4,23064722446,98.7,4.1,40.4,63.5,213,0.24,27.5,1.19,17861030,74.6,16.2,"15.60",11.43,7871713,-13.133897,27.849332
"133",3.204,"Zimbabwe",38,41.9,390757,51000,30.68,10983,105.51,0.9,3.62,35.5,1.34,21440758800,109.9,10,33.9,61.2,458,NA,25.8,0.21,14645468,83.1,20.7,"31.60",4.95,4717305,-19.015438,29.154857
